Shipment_ID,Region,Transport_Mode,Product_Category,Shipment_Volume_kg,Distance_km,Delivery_Time_Days,Transportation_Cost_INR,Delay_Risk
10056,North,Road,Electronics,593.8,175.8,1.0,487.3,0.077
10057,East,Road,Industrial,630.9,994.7,5.55,1026.04,0.34
10058,North,Rail,Industrial,140.6,437.8,4.89,442.75,0.043
10059,East,Road,Industrial,454.4,211.9,3.45,576.81,0.112
10060,East,Road,Industrial,127.6,361.7,3.33,423.26,0.125
10061,West,Road,Apparel,526.5,764.7,3.8,811.65,0.089
10062,East,Road,Apparel,519.2,676.6,4.93,780.92,0.128
10063,South,Road,Electronics,708.2,280.6,3.26,637.58,0.181
10064,West,Road,Industrial,733.8,1094.9,4.56,1182.92,0.155
10065,South,Road,Food,556.5,209.8,2.61,548.45,0.212
10066,South,Road,Apparel,429.9,1222.3,7.52,1227.72,0.353
10067,West,Road,Industrial,607.3,659.6,1.96,930.03,0.047
10068,South,Rail,Food,425.0,459.3,5.09,712.31,0.32
10069,North,Road,Industrial,519.7,500.6,1.57,788.35,0.048
10070,South,Sea,Industrial,697.5,615.4,6.21,686.93,0.197
10071,West,Sea,Electronics,419.6,799.4,5.92,705.45,0.352
10072,North,Road,Apparel,665.0,151.8,0.5,501.81,0.01
10073,South,Road,Food,641.9,353.7,3.87,603.7,0.165
10074,North,Road,Industrial,348.1,603.6,3.17,598.33,0.082
10075,East,Air,Electronics,695.3,1118.4,0.94,1387.53,0.085
10076,South,Rail,Apparel,645.7,1094.6,7.16,1091.61,0.309
10077,South,Air,Food,538.3,1363.6,5.55,1477.45,0.321
10078,North,Road,Industrial,382.8,1065.3,6.48,1019.39,0.222
10079,East,Rail,Electronics,365.3,336.0,4.58,576.39,0.15
10080,East,Road,Food,423.2,580.6,3.72,733.69,0.108
10081,West,Air,Apparel,617.7,1068.9,4.86,1581.49,0.012
10082,South,Road,Electronics,348.0,1010.7,6.55,1009.18,0.268
10083,North,Rail,Food,598.8,516.5,6.17,672.22,0.377
10084,West,Sea,Apparel,296.5,786.6,5.15,726.24,0.397
10085,East,Road,Food,483.3,436.2,3.65,660.11,0.15
10086,East,Rail,Apparel,539.7,197.3,4.57,482.92,0.017
10087,North,Road,Industrial,960.1,544.9,2.01,1102.47,0.234
10088,South,Rail,Electronics,272.1,524.8,5.03,491.05,0.34
10089,West,Road,Industrial,785.0,422.8,6.44,831.44,0.431
10090,West,Sea,Electronics,547.0,801.2,7.36,860.29,0.335
10091,South,Road,Food,594.0,505.8,5.45,592.23,0.305
10092,West,Sea,Apparel,541.3,737.6,6.66,862.77,0.275
10093,West,Air,Apparel,600.1,900.3,2.78,1344.34,0.057
10094,South,Rail,Electronics,492.3,1800.0,8.0,1500.64,0.147
10095,West,Air,Food,781.7,550.6,1.31,1053.92,0.224
10096,South,Air,Electronics,437.8,1127.2,2.03,1170.2,0.113
10097,North,Sea,Food,723.8,670.9,8.01,708.73,0.419
10098,East,Road,Food,404.0,693.9,5.54,883.62,0.186
10099,East,Rail,Industrial,509.2,555.2,3.61,646.58,0.145
10100,North,Road,Food,327.0,636.6,4.84,615.89,0.244
10101,West,Rail,Apparel,601.9,508.7,4.69,714.71,0.105
10102,North,Road,Food,780.1,1018.3,5.44,1133.8,0.376
10103,West,Rail,Industrial,506.1,362.6,4.92,506.24,0.122
10104,North,Rail,Apparel,484.6,195.8,5.17,486.05,0.422
10105,West,Road,Electronics,319.4,413.9,3.27,447.58,0.028
10106,West,Road,Industrial,478.7,385.6,4.98,517.22,0.114
10107,West,Air,Electronics,233.3,413.7,1.75,739.75,0.044
10108,East,Air,Food,355.7,537.3,2.54,953.5,0.062
10109,South,Road,Electronics,560.8,414.7,2.44,765.59,0.097
10110,East,Rail,Electronics,757.4,532.6,7.62,716.76,0.474
10111,South,Sea,Industrial,1025.7,415.6,6.83,849.36,0.506
10112,West,Road,Electronics,414.4,746.7,4.88,761.12,0.131
10113,East,Road,Food,778.4,1800.0,4.84,1907.27,0.174
10114,South,Road,Food,563.9,662.9,3.01,732.08,0.274
10115,East,Rail,Electronics,492.8,426.7,5.98,708.72,0.25
10116,East,Road,Electronics,597.9,85.1,3.1,373.26,0.06
10117,North,Air,Industrial,531.1,1570.2,1.98,1864.84,0.01
10118,North,Rail,Food,539.9,685.0,6.37,848.2,0.378
10119,North,Road,Electronics,446.5,529.7,2.92,597.48,0.168
10120,North,Sea,Industrial,268.3,90.1,6.39,165.55,0.449
10121,South,Air,Apparel,242.1,546.9,1.58,895.81,0.01
10122,East,Road,Electronics,637.6,633.3,4.26,938.52,0.202
10123,East,Road,Industrial,470.2,416.6,4.76,611.04,0.105
10124,South,Road,Electronics,412.7,225.2,1.78,459.53,0.156
10125,West,Road,Food,521.5,214.2,1.76,561.5,0.01
10126,East,Road,Industrial,663.1,1584.1,5.92,1550.94,0.383
10127,North,Sea,Food,552.5,622.4,7.19,598.77,0.335
10128,West,Road,Food,401.9,416.3,1.67,515.39,0.097
10129,East,Road,Apparel,740.7,600.3,2.06,884.45,0.245
10130,East,Rail,Electronics,804.3,575.7,6.16,936.65,0.326
10131,East,Rail,Food,609.0,206.1,3.41,624.65,0.059
10132,East,Sea,Industrial,695.3,980.4,6.68,1103.07,0.248
10133,North,Air,Electronics,743.6,521.2,0.5,1043.39,0.07
10134,East,Road,Industrial,723.4,627.6,3.28,943.09,0.26
10135,West,Road,Apparel,630.5,1293.6,5.47,1256.2,0.363
10136,South,Sea,Food,627.7,230.3,6.53,450.68,0.231
10137,East,Rail,Electronics,613.5,350.1,3.53,510.55,0.124
10138,North,Sea,Food,322.5,706.8,8.12,566.94,0.261
10139,South,Road,Electronics,646.1,969.4,3.95,1119.39,0.123
10140,South,Sea,Apparel,276.0,391.2,4.56,449.27,0.056
10141,West,Rail,Food,377.0,406.0,6.17,587.55,0.218
10142,North,Road,Electronics,754.6,842.8,4.87,1092.92,0.274
10143,South,Rail,Apparel,671.2,1800.0,7.08,1674.76,0.276
10144,South,Rail,Food,787.7,612.3,5.05,896.82,0.522
10145,West,Road,Electronics,471.1,349.3,4.82,565.52,0.103
10146,West,Road,Apparel,312.6,282.9,4.64,492.16,0.035
10147,North,Air,Apparel,476.7,536.3,0.94,851.04,0.186
10148,North,Road,Food,538.4,944.2,4.55,1059.21,0.144
10149,West,Road,Industrial,534.2,1800.0,6.6,1700.53,0.331
10150,North,Road,Industrial,724.1,481.9,2.59,710.79,0.283
10151,West,Road,Electronics,455.0,612.9,3.7,757.06,0.054
10152,South,Sea,Electronics,583.4,1437.8,8.05,1259.13,0.271
10153,West,Air,Electronics,342.0,699.9,3.5,930.23,0.088
10154,South,Road,Food,601.1,665.7,5.5,750.47,0.19
10155,South,Sea,Electronics,520.6,1284.5,7.24,1292.36,0.262
10156,East,Sea,Electronics,385.0,621.6,5.75,740.2,0.374
10157,North,Road,Industrial,477.6,299.5,3.89,584.61,0.117
10158,East,Air,Industrial,486.8,1139.2,2.57,1532.19,0.01
10159,East,Road,Industrial,471.4,180.5,3.53,430.87,0.01
10160,West,Sea,Apparel,838.8,1032.4,7.32,1403.46,0.497
10161,West,Rail,Food,502.3,583.8,3.69,685.84,0.094
10162,East,Rail,Food,476.1,485.1,3.46,647.21,0.055
10163,South,Road,Electronics,142.5,477.3,4.86,487.66,0.081
10164,South,Sea,Food,359.0,535.1,5.6,604.55,0.177
10165,South,Road,Food,472.6,441.5,5.37,711.57,0.38
10166,West,Road,Apparel,396.5,760.4,3.41,823.79,0.072
10167,South,Road,Industrial,768.7,451.5,4.11,927.81,0.296
10168,North,Air,Food,490.3,131.8,3.91,652.34,0.104
10169,South,Road,Food,751.9,586.5,2.77,882.4,0.3
10170,North,Sea,Food,531.1,124.9,2.79,266.17,0.118
10171,North,Rail,Industrial,526.7,584.1,6.43,754.44,0.34
10172,North,Road,Food,504.0,435.8,2.44,633.41,0.15
10173,West,Road,Apparel,520.7,989.6,4.65,996.43,0.144
10174,East,Road,Industrial,829.4,497.9,3.22,756.92,0.224
10175,East,Rail,Food,102.5,908.7,5.45,1012.75,0.264
10176,South,Air,Industrial,159.7,850.0,1.13,985.39,0.234
10177,East,Road,Electronics,422.2,863.6,4.07,787.97,0.037
10178,North,Air,Apparel,522.6,509.0,2.45,853.15,0.1
10179,West,Road,Industrial,644.2,607.5,2.76,823.36,0.101
10180,East,Air,Food,605.2,748.6,1.7,1172.35,0.128
10181,West,Sea,Industrial,450.8,618.8,5.66,719.85,0.25
10182,North,Air,Electronics,703.4,498.5,0.5,1045.29,0.222
10183,South,Rail,Electronics,705.4,318.9,3.99,542.88,0.188
10184,East,Air,Industrial,553.1,590.6,2.27,1018.2,0.01
10185,South,Road,Apparel,693.3,196.4,2.63,473.73,0.101
10186,South,Road,Food,569.1,116.9,2.47,387.4,0.023
10187,North,Road,Apparel,418.9,269.6,2.94,407.5,0.01
10188,South,Road,Apparel,645.6,857.8,3.74,901.81,0.11
10189,North,Air,Industrial,539.9,673.7,3.13,1137.63,0.134
10190,South,Rail,Electronics,520.2,862.8,7.22,976.67,0.317
10191,East,Sea,Industrial,785.1,371.5,5.34,720.16,0.42
10192,East,Road,Industrial,80.0,1047.2,4.9,911.12,0.01
10193,East,Air,Food,264.8,214.3,0.68,665.43,0.01
10194,South,Road,Apparel,306.3,276.9,3.29,289.52,0.238
10195,West,Road,Electronics,454.6,1036.9,6.59,1135.15,0.207
10196,North,Rail,Food,474.2,645.0,5.57,754.48,0.323
10197,South,Sea,Apparel,248.7,865.8,4.27,819.23,0.052
10198,North,Rail,Electronics,342.7,675.4,5.43,739.44,0.286
10199,South,Road,Apparel,365.0,407.1,4.69,477.59,0.056
10200,West,Rail,Industrial,962.3,253.7,4.37,527.01,0.239
10201,South,Road,Apparel,844.3,144.5,4.35,514.54,0.21
10202,West,Sea,Electronics,445.9,1506.0,7.21,1357.45,0.249
10203,South,Rail,Food,454.6,174.9,2.11,453.97,0.026
10204,East,Road,Electronics,313.1,1260.2,5.22,1035.77,0.299
10205,South,Road,Industrial,176.5,623.9,1.37,555.03,0.015
10206,South,Road,Industrial,499.0,687.8,3.7,759.69,0.13
10207,West,Sea,Industrial,340.4,661.3,7.59,621.98,0.464
10208,West,Road,Industrial,504.7,804.1,1.96,788.35,0.195
10209,South,Air,Electronics,232.0,347.9,0.5,549.92,0.15
10210,West,Rail,Electronics,382.8,103.0,2.42,235.97,0.094
10211,South,Rail,Apparel,546.8,401.5,4.42,601.51,0.01
10212,East,Road,Apparel,585.9,764.9,3.81,810.58,0.01
10213,West,Sea,Industrial,595.1,278.8,7.16,475.31,0.37
10214,South,Road,Food,282.3,1061.8,5.72,1098.37,0.225
10215,East,Rail,Food,673.8,541.2,5.55,630.51,0.231
10216,South,Rail,Industrial,376.0,260.6,4.17,401.97,0.088
10217,North,Rail,Food,633.9,641.2,5.6,895.14,0.206
10218,North,Sea,Apparel,518.1,757.4,5.42,760.3,0.194
10219,South,Road,Apparel,272.3,789.5,4.99,751.19,0.096
10220,West,Road,Food,463.1,50.0,1.19,455.21,0.038
10221,North,Road,Electronics,585.8,1037.5,5.86,1085.47,0.228
10222,South,Road,Food,630.3,201.8,4.47,629.47,0.045
10223,East,Road,Food,494.6,1038.3,5.01,1113.94,0.137
10224,North,Road,Food,795.7,1092.9,5.0,1210.25,0.184
10225,East,Road,Food,701.4,254.1,3.72,640.69,0.187
10226,South,Road,Industrial,473.8,291.8,0.5,557.97,0.142
10227,West,Road,Industrial,655.0,891.1,4.97,1128.58,0.09
10228,East,Rail,Food,868.1,453.3,4.84,716.61,0.181
10229,East,Rail,Apparel,872.9,1184.9,6.54,1298.43,0.413
10230,North,Road,Electronics,299.0,1372.3,6.13,1228.1,0.327
10231,South,Road,Industrial,353.2,260.4,2.78,519.22,0.09
10232,West,Road,Industrial,787.3,343.2,2.17,605.52,0.206
10233,North,Rail,Food,329.5,621.4,4.58,752.33,0.045
10234,West,Road,Industrial,281.9,100.3,2.52,352.57,0.04
10235,South,Road,Industrial,432.5,148.1,2.85,289.75,0.154
10236,East,Road,Industrial,595.6,316.9,3.46,707.1,0.131
10237,East,Road,Food,501.6,1639.1,7.35,1711.89,0.312
10238,South,Road,Electronics,402.9,679.3,2.55,868.48,0.12
10239,South,Rail,Electronics,398.6,381.7,4.5,645.68,0.103
10240,East,Rail,Electronics,391.8,290.2,5.63,456.18,0.329
10241,North,Rail,Apparel,361.7,252.0,1.88,258.8,0.165
10242,East,Rail,Food,930.7,400.3,5.14,588.14,0.444
10243,North,Rail,Apparel,573.6,385.3,3.79,616.29,0.093
10244,East,Road,Electronics,679.6,505.9,3.33,716.38,0.197
10245,East,Air,Electronics,432.0,778.8,1.32,989.83,0.116
10246,North,Road,Industrial,486.5,555.4,3.47,718.59,0.144
10247,West,Road,Industrial,391.6,921.9,6.59,1003.61,0.3
10248,South,Rail,Apparel,80.0,483.2,2.65,325.78,0.117
10249,West,Road,Industrial,272.0,1431.6,3.98,1224.6,0.048
10250,North,Road,Food,194.1,909.0,2.57,991.87,0.149
10251,North,Air,Industrial,115.0,668.2,3.89,762.67,0.299
10252,South,Sea,Industrial,304.8,780.3,5.72,803.14,0.254
10253,North,Sea,Food,758.5,407.5,5.92,603.32,0.385
10254,South,Road,Apparel,512.0,500.7,3.1,744.66,0.069
10255,East,Road,Food,752.3,488.6,2.69,886.49,0.166
10256,North,Air,Apparel,594.0,351.9,1.36,899.59,0.208
10257,East,Road,Apparel,660.9,221.1,6.08,638.59,0.233
10258,North,Air,Food,357.8,805.2,4.06,956.39,0.067
10259,North,Road,Food,614.3,1006.2,3.8,1202.71,0.01
10260,East,Road,Food,651.2,739.1,5.04,848.88,0.227
10261,West,Road,Apparel,416.2,554.4,2.6,717.33,0.01
10262,North,Air,Apparel,620.7,1795.8,2.75,1906.92,0.144
10263,South,Road,Electronics,621.9,378.5,4.66,697.38,0.296
10264,West,Road,Food,421.1,681.9,5.28,818.13,0.254
10265,West,Road,Food,317.9,1089.5,5.93,962.01,0.163
10266,East,Road,Industrial,306.9,271.2,2.28,322.67,0.163
10267,South,Road,Food,535.6,841.4,4.16,1029.24,0.049
10268,South,Air,Apparel,578.9,1484.8,5.04,1658.87,0.371
10269,East,Road,Electronics,377.3,583.0,4.08,801.7,0.08
10270,East,Air,Electronics,524.8,645.8,1.75,1011.34,0.056
10271,South,Sea,Apparel,622.7,380.0,3.79,443.66,0.088
10272,North,Road,Apparel,631.3,775.1,4.46,1030.15,0.153
10273,North,Road,Apparel,799.3,346.2,4.85,671.63,0.184
10274,West,Rail,Apparel,749.9,561.9,3.64,825.32,0.165
10275,South,Road,Industrial,339.8,200.9,3.49,349.05,0.086
10276,South,Road,Electronics,823.0,60.5,3.35,657.21,0.111
10277,South,Sea,Apparel,424.4,431.1,6.53,444.78,0.308
10278,West,Sea,Electronics,708.1,426.6,6.98,609.21,0.255
10279,North,Air,Apparel,532.2,455.3,0.97,891.04,0.069
10280,North,Road,Food,445.8,893.2,2.44,852.04,0.153
10281,South,Rail,Electronics,194.6,1022.5,4.85,922.65,0.121
10282,South,Rail,Apparel,489.1,699.0,6.16,928.78,0.321
10283,East,Road,Electronics,239.3,857.2,3.42,793.53,0.095
10284,South,Rail,Industrial,694.1,352.9,3.72,656.19,0.182
10285,South,Road,Food,793.0,297.0,1.26,419.49,0.265
10286,West,Road,Electronics,376.6,784.3,6.16,839.38,0.311
10287,North,Road,Electronics,574.4,268.6,4.13,526.48,0.165
10288,East,Road,Electronics,389.4,247.5,3.81,388.1,0.153
10289,East,Road,Apparel,406.9,1800.0,7.51,1684.22,0.249
10290,South,Air,Industrial,659.4,606.2,2.97,1014.06,0.01
10291,West,Sea,Food,513.1,426.8,5.43,541.82,0.309
10292,South,Rail,Industrial,833.1,395.7,4.61,675.86,0.238
10293,West,Air,Apparel,433.2,205.2,0.62,487.21,0.176
10294,South,Sea,Apparel,699.9,690.3,9.67,724.06,0.214
10295,East,Road,Apparel,537.5,482.5,4.24,779.67,0.037
10296,East,Road,Electronics,663.2,1005.9,4.32,932.91,0.132
10297,West,Road,Industrial,439.5,798.7,4.72,810.71,0.095
10298,South,Road,Electronics,511.1,472.1,2.3,638.61,0.01
10299,South,Air,Apparel,499.2,124.4,2.84,786.15,0.126
10300,North,Road,Food,369.5,607.2,2.87,781.55,0.01
10301,South,Road,Electronics,639.2,574.4,4.49,751.85,0.034
10302,West,Road,Apparel,637.0,103.0,4.12,579.11,0.195
10303,North,Road,Apparel,626.8,745.5,4.71,853.37,0.228
10304,West,Sea,Apparel,796.7,262.1,5.78,649.16,0.295
10305,East,Road,Electronics,780.9,1036.0,5.08,1071.57,0.357
10306,North,Road,Electronics,452.5,553.1,3.56,804.88,0.103
10307,South,Road,Electronics,587.1,388.4,2.72,609.68,0.225
10308,East,Road,Apparel,407.8,659.6,3.28,673.59,0.065
10309,South,Rail,Electronics,524.2,635.3,6.77,733.06,0.247
10310,North,Road,Industrial,412.0,621.3,3.61,765.36,0.208
10311,East,Road,Electronics,811.6,958.4,3.99,1106.41,0.174
10312,East,Road,Food,585.5,683.8,3.45,908.08,0.151
10313,North,Air,Food,480.8,365.8,2.87,742.8,0.01
10314,South,Rail,Apparel,734.9,491.8,5.72,793.58,0.368
10315,North,Rail,Industrial,129.3,1247.6,6.59,1067.36,0.164
10316,East,Rail,Electronics,157.5,344.1,3.63,383.41,0.026
10317,East,Air,Electronics,663.3,738.4,3.27,1100.5,0.159
10318,East,Road,Apparel,530.9,978.7,3.89,1061.28,0.097
10319,West,Road,Electronics,565.1,780.6,3.95,968.91,0.078
10320,West,Road,Apparel,281.2,609.5,4.73,862.51,0.048
10321,South,Road,Apparel,515.8,667.4,5.01,901.71,0.085
10322,North,Air,Industrial,880.6,809.6,1.8,1370.59,0.221
10323,East,Road,Apparel,668.4,341.3,2.37,924.45,0.169
10324,West,Air,Industrial,550.5,576.7,2.22,1022.86,0.01
10325,West,Sea,Industrial,441.0,1790.0,10.74,1552.64,0.222
10326,North,Road,Industrial,449.0,751.8,1.77,913.25,0.111
10327,North,Sea,Electronics,136.7,622.6,6.07,449.89,0.273
10328,North,Rail,Industrial,566.4,461.1,3.0,604.89,0.128
10329,North,Sea,Food,672.2,343.9,4.95,519.4,0.119
10330,East,Road,Industrial,236.4,680.7,3.24,767.69,0.079
10331,East,Road,Apparel,400.9,708.9,3.42,783.15,0.063
10332,South,Road,Industrial,311.7,553.2,2.84,661.64,0.083
10333,South,Road,Food,346.2,1800.0,6.29,1659.29,0.36
10334,West,Road,Electronics,529.6,364.3,2.66,682.42,0.049
10335,South,Sea,Apparel,144.8,309.0,3.29,303.74,0.096
10336,West,Rail,Electronics,630.6,465.3,5.67,614.52,0.293
10337,West,Road,Industrial,655.7,564.1,4.79,903.75,0.209
10338,South,Road,Apparel,474.8,332.0,4.18,628.12,0.079
10339,North,Road,Electronics,80.0,671.0,1.63,492.15,0.167
10340,West,Road,Food,340.6,714.4,4.22,749.27,0.186
10341,East,Sea,Apparel,741.9,865.3,7.76,984.5,0.376
10342,South,Road,Electronics,80.0,418.5,1.68,525.04,0.085
10343,East,Road,Industrial,457.4,1189.3,5.06,1250.31,0.257
10344,East,Rail,Industrial,307.6,832.0,5.05,828.76,0.262
10345,West,Road,Food,664.8,359.4,5.65,710.65,0.34
10346,South,Road,Food,398.5,331.0,5.39,531.46,0.296
10347,West,Rail,Apparel,592.7,485.5,2.74,612.83,0.116
10348,West,Rail,Food,621.8,715.5,8.27,827.76,0.201
10349,North,Sea,Food,850.5,777.0,5.77,953.37,0.312
10350,North,Rail,Electronics,483.5,831.1,6.56,873.3,0.43
10351,East,Road,Electronics,587.7,1726.3,7.55,1440.04,0.268
10352,North,Air,Apparel,252.7,157.2,0.5,513.55,0.046
10353,South,Sea,Apparel,734.3,544.0,6.82,740.12,0.48
10354,South,Rail,Electronics,383.1,1646.2,6.95,1395.87,0.3
10355,West,Sea,Electronics,419.1,888.1,7.3,828.22,0.32
10356,West,Air,Industrial,516.0,295.9,1.71,803.72,0.09
10357,North,Sea,Apparel,238.7,651.0,7.35,506.89,0.258
10358,West,Road,Food,561.2,524.2,3.78,586.63,0.088
10359,North,Air,Food,694.1,512.7,1.91,959.36,0.01
10360,East,Road,Food,572.7,413.4,4.77,726.96,0.094
10361,West,Rail,Food,234.0,619.9,5.33,771.48,0.301
10362,West,Rail,Apparel,497.7,1066.9,6.8,1122.63,0.41
10363,North,Sea,Industrial,653.6,437.6,5.1,492.41,0.286
10364,West,Sea,Apparel,182.0,834.6,5.0,691.44,0.01
10365,North,Road,Industrial,326.5,918.9,3.62,941.85,0.093
10366,East,Air,Apparel,677.8,1183.8,2.84,1483.0,0.292
10367,South,Air,Electronics,568.6,327.2,2.5,852.94,0.161
10368,South,Road,Industrial,594.2,590.7,5.04,712.33,0.223
10369,North,Road,Electronics,854.7,383.0,3.51,760.55,0.241
10370,West,Road,Industrial,604.3,620.6,5.67,858.48,0.228
10371,South,Air,Electronics,638.4,618.1,3.93,1117.48,0.01
10372,East,Road,Electronics,1007.9,273.6,3.92,667.84,0.176
10373,South,Sea,Food,481.5,642.6,5.18,668.83,0.286
10374,South,Road,Industrial,376.4,1774.5,8.15,1312.34,0.149
10375,West,Sea,Apparel,597.0,778.8,6.52,790.52,0.2
10376,North,Road,Electronics,599.0,235.1,3.24,493.7,0.101
10377,East,Air,Electronics,425.2,313.5,0.96,642.54,0.071
10378,East,Road,Industrial,334.2,572.7,2.48,687.62,0.128
10379,South,Rail,Food,935.8,318.5,2.99,692.31,0.115
10380,South,Air,Electronics,578.8,1148.4,4.15,1196.65,0.15
10381,North,Sea,Apparel,388.2,214.9,4.17,372.17,0.017
10382,West,Air,Apparel,684.9,781.9,6.37,1097.06,0.395
10383,West,Road,Electronics,500.4,182.1,1.56,504.95,0.01
10384,North,Road,Industrial,474.5,567.2,2.18,612.32,0.024
10385,North,Road,Food,621.2,287.5,3.84,590.61,0.129
10386,North,Road,Electronics,287.5,864.2,5.97,837.46,0.396
10387,North,Rail,Food,583.5,1041.9,6.04,1097.54,0.302
10388,West,Rail,Apparel,864.3,714.2,6.23,963.47,0.419
10389,West,Air,Electronics,603.9,1068.9,1.03,1330.32,0.101
10390,North,Sea,Apparel,452.3,80.0,4.07,144.3,0.028
10391,East,Air,Electronics,428.7,637.7,0.81,836.28,0.066
10392,North,Air,Electronics,446.1,775.5,0.5,1023.21,0.015
10393,South,Road,Industrial,474.3,833.5,4.42,918.6,0.01
10394,East,Road,Food,452.0,141.9,0.5,357.29,0.128
10395,East,Rail,Electronics,684.9,749.3,3.84,958.46,0.021
10396,West,Sea,Industrial,208.0,843.9,5.66,704.87,0.302
10397,North,Road,Food,675.2,633.4,3.06,772.79,0.01
10398,North,Road,Industrial,451.7,236.9,3.4,455.22,0.121
10399,South,Rail,Food,587.9,411.4,4.93,638.44,0.066
10400,South,Road,Apparel,317.1,1151.7,5.88,1111.69,0.378
10401,West,Road,Food,759.2,1079.9,6.05,1385.42,0.403
10402,West,Sea,Food,744.2,767.3,8.1,839.83,0.467
10403,South,Rail,Food,692.7,874.6,5.71,989.05,0.227
10404,West,Road,Electronics,247.3,1009.2,4.78,988.87,0.104
10405,South,Sea,Apparel,669.2,762.2,7.25,862.76,0.211
10406,East,Road,Electronics,592.9,1133.5,5.25,1140.07,0.251
10407,South,Sea,Apparel,231.1,1112.6,6.45,793.67,0.262
10408,North,Road,Electronics,515.6,1800.0,6.07,1586.59,0.229
10409,West,Rail,Electronics,585.6,422.6,3.61,528.6,0.015
10410,North,Road,Industrial,620.1,427.6,4.05,532.91,0.01
10411,North,Road,Electronics,551.9,50.0,2.51,316.19,0.01
10412,North,Sea,Industrial,572.4,729.6,5.66,706.5,0.206
10413,South,Road,Electronics,785.3,1592.8,5.52,1649.18,0.424
10414,North,Road,Industrial,740.7,1183.4,3.9,1337.27,0.088
10415,North,Road,Apparel,80.0,936.5,5.24,746.5,0.184
10416,East,Rail,Food,462.9,1228.6,6.34,1130.58,0.405
